2016-05-18 03:00:08.603441|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987
2016-05-18 20:03:18.216894|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:137) with values (value:75) was added by 'Basti'(id:591) to channel '٠٠٠••● World of Warcraft ●••٠٠٠'(id:9)
2016-05-18 20:07:54.593519|INFO    |VirtualServer |1  |client 'Basti'(id:591) was added to channelgroup 'Channel Admin'(id:5) by client 'Basti'(id:591) in channel '┌ Team 1'(id:43)
2016-05-18 20:13:32.933675|INFO    |VirtualServer |1  |permission 'b_channel_create_permanent'(id:83) with values (value:1, negated:0, skipchannel:0) was added by 'Basti'(id:591) to servergroup 'Male'(id:10)
2016-05-18 20:14:02.664219|INFO    |VirtualServer |1  |permission 'i_channel_min_depth'(id:76) with values (value:75, negated:0, skipchannel:0) was added by 'Basti'(id:591) to servergroup 'ServerAdmin'(id:9)
2016-05-18 20:54:07.956053|INFO    |VirtualServer |1  |permission 'i_channel_min_depth'(id:76) with values (value:0, negated:0, skipchannel:0) was added by 'Basti'(id:591) to servergroup 'ServerAdmin'(id:9)
2016-05-18 20:54:59.236396|INFO    |VirtualServer |1  |permission 'i_channel_min_depth'(id:76) with values (value:0, negated:0, skipchannel:1) was added by 'Basti'(id:591) to servergroup 'ServerAdmin'(id:9)
2016-05-18 20:54:59.968061|INFO    |VirtualServer |1  |permission 'i_channel_min_depth'(id:76) with values (value:0, negated:0, skipchannel:0) was added by 'Basti'(id:591) to servergroup 'ServerAdmin'(id:9)
2016-05-18 20:55:22.697453|INFO    |VirtualServer |1  |permission 'i_channel_min_depth'(id:76) was deleted by 'Basti'(id:591) from servergroup 'ServerAdmin'(id:9)
2016-05-18 20:57:04.038415|INFO    |VirtualServer |1  |permission 'i_channel_min_depth'(id:76) with values (value:-1, negated:0, skipchannel:0) was added by 'Basti'(id:591) to servergroup 'Offizier'(id:6)
2016-05-18 20:57:19.716715|INFO    |VirtualServer |1  |permission 'i_channel_min_depth'(id:76) with values (value:-1) was added by 'Basti'(id:591) to channelgroup 'Channel Admin'(id:5)
2016-05-18 20:58:32.803182|INFO    |VirtualServer |1  |permission 'i_channel_min_depth'(id:76) with values (value:-1, negated:0, skipchannel:0) was added by 'Basti'(id:591) to servergroup 'ServerAdmin'(id:9)
2016-05-18 20:59:15.280308|INFO    |VirtualServer |1  |permission 'i_channel_min_depth'(id:76) was deleted by 'Basti'(id:591) from servergroup 'Male'(id:10)
2016-05-18 20:59:53.150433|INFO    |VirtualServer |1  |permission 'i_channel_needed_modify_power'(id:122) with values (value:75) was added by 'Basti'(id:591) to channel 'asdasdasd'(id:47)
2016-05-18 20:59:53.152131|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:137) with values (value:75) was added by 'Basti'(id:591) to channel 'asdasdasd'(id:47)
2016-05-18 21:00:32.916586|INFO    |VirtualServer |1  |client 'Basti'(id:591) was added to channelgroup 'Guest'(id:8) by client 'Basti'(id:591) in channel '┌ Team 1'(id:43)
2016-05-18 21:02:16.090614|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) with values (value:-923016636) was added by 'Basti'(id:591) to channel 'Overwatch'(id:49)
2016-05-18 21:02:16.094356|INFO    |VirtualServer |1  |permission 'i_channel_needed_modify_power'(id:122) with values (value:75) was added by 'Basti'(id:591) to channel 'Overwatch'(id:49)
2016-05-18 21:02:16.095659|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:137) with values (value:75) was added by 'Basti'(id:591) to channel 'Overwatch'(id:49)
2016-05-18 21:03:10.005747|INFO    |VirtualServer |1  |permission 'i_channel_needed_modify_power'(id:122) with values (value:75) was added by 'Basti'(id:591) to channel 'Quickmatch'(id:50)
2016-05-18 21:03:10.006555|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:137) with values (value:25) was added by 'Basti'(id:591) to channel 'Quickmatch'(id:50)
2016-05-18 21:04:32.904392|INFO    |VirtualServer |1  |permission 'i_channel_needed_modify_power'(id:122) with values (value:75) was added by 'Basti'(id:591) to channel 'Ranked'(id:51)
2016-05-18 21:04:32.905638|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:137) with values (value:25) was added by 'Basti'(id:591) to channel 'Ranked'(id:51)
2016-05-18 21:18:33.464232|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) with values (value:0) was added by 'Basti'(id:591) to channel '┌ Lounge I'(id:21)
2016-05-18 21:18:38.974863|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) with values (value:0) was added by 'Basti'(id:591) to channel '└ Lounge II'(id:24)
2016-05-18 21:23:29.280104|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:142) with values (value:1628540377, negated:0, skipchannel:0) was added by 'Basti'(id:591) to servergroup 'ServerAdmin'(id:9)
2016-05-19 03:00:01.428877|INFO    |VirtualServerBase|1  |stopped
